id,Name,openingTime
484,Triniti at Tower Club,"Mon, Weds 6:45 am - 12 pm / Tues, Fri 5:30 am - 4:45 pm / Thurs 8:15 am - 3:15 am / Sat 4:15 pm - 7:45 pm / Sun 1:45 pm - 12:45 pm"
485,Dee Lincoln Steak & Burger Bar - Dallas,"Mon - Tues 12:30 pm - 3 pm / Weds 6 am - 4:45 pm / Thurs, Sat 10:45 am - 1:15 am / Fri, Sun 7 am - 6:30 pm"
486,Savor,"Fri - Mon, Weds 12:45 pm - 10:30 pm / Tues, Thurs 12:45 pm - 1 pm"
487,Grand Met,"Mon 8:15 am - 2:45 pm / Tues, Fri - Sat 10:45 am - 1:45 am / Weds 10 am - 8:30 pm / Thurs 5:30 pm - 2:30 am / Sun 3:30 pm - 8:15 pm"
488,III Forks - Dallas,"Mon, Thurs 7:15 am - 1 am / Tues 8:15 am - 11:30 am / Weds, Fri 4:45 pm - 7 pm / Sat 7 am - 4:30 pm / Sun 10:30 am - 5:45 pm"
489,Maple Manor,"Mon 6 am - 8 am / Tues 1:45 pm - 10:30 pm / Weds 4 pm - 8 pm / Thurs 1:30 pm - 5:15 pm / Fri, Sun 2:15 pm - 10 pm / Sat 10:30 am - 7:45 pm"
490,CBD Provisions,Mon - Tues 6:15 am - 1:15 pm / Weds 5 pm - 8 pm / Thurs - Fri 1:15 pm - 11:45 pm / Sat 1:15 pm - 11:30 pm / Sun 11:15 am - 3:15 pm
491,Ai Sushi Sake Grill,"Mon 5:30 pm - 2:45 am / Tues, Thurs 7 am - 10:30 pm / Weds 1 pm - 3:30 am / Fri 10:30 am - 5 pm / Sat 7 am - 11:15 pm / Sun 5:30 pm - 3:15 am"
492,Pacific Table,"Mon - Tues, Thurs 7:15 am - 3 pm / Weds 9 am - 10:15 am / Fri 5:30 am - 1:15 pm / Sat 12 pm - 4:15 pm / Sun 10:15 am - 2:30 am"
493,Texas,Mon 10 am - 11:15 pm / Tues 5:15 am - 3:45 pm / Weds 8:30 am - 3:45 am / Thurs 7:30 am - 10:15 am / Fri 6 am - 2 am / Sat 4:30 pm - 8:45 pm / Sun 1:15 pm - 7 pm
494,Driftwood,"Mon, Thurs 4:45 pm - 7 pm / Tues - Weds, Fri 8:30 am - 11:45 am / Sat 6 am - 9 am / Sun 4 pm - 9:45 pm"
495,Table 13,"Mon, Fri 5:45 am - 12:30 pm / Tues 12:45 pm - 1:45 pm / Weds 12:15 pm - 1:30 pm / Thurs 7:15 am - 12:15 pm / Sat 3:15 pm - 9:45 pm / Sun 12:45 pm - 3:45 pm"
496,The Classic Cafe at Roanoke,"Mon, Weds 8:30 am - 9:15 am / Tues, Fri - Sat 8:15 am - 6:45 pm / Thurs 5:30 am - 11:15 pm / Sun 6:30 am - 11:45 pm"
497,Gemma,"Mon, Weds 1:30 pm - 12:30 pm / Tues 7 am - 1 pm / Thurs 7:15 am - 3 am / Fri 5:15 pm - 7:15 pm / Sat 9:30 am - 11 pm / Sun 3 pm - 2:45 am"
498,Sambuca - Plano,"Mon, Weds 4:30 pm - 5:45 pm / Tues, Thurs, Sat 9:45 am - 11 am / Fri 5:30 am - 12:15 pm / Sun 4 pm - 7:45 pm"
499,Bite City Grill,Mon 12:15 pm - 1 am / Tues 2:30 pm - 6:30 pm / Weds 11:45 am - 3:45 am / Thurs 5 am - 6:45 pm / Fri 11:45 am - 2:45 pm / Sat 5 pm - 6:30 pm / Sun 6:30 am - 1:45 am
500,Kennedy Room,Sun - Mon 6:15 am - 5:30 pm / Tues 11:15 am - 1:15 am / Weds 5:15 pm - 9:30 pm / Thurs 1:15 pm - 3:15 am / Fri 4:15 pm - 2:30 am / Sat 9 am - 10:30 am
501,FT33,"Mon, Weds 7:45 am - 2:45 pm / Tues, Sat 7:45 am - 3:15 am / Thurs 1:15 pm - 2 am / Fri 8:15 am - 11:15 am / Sun 8:45 am - 3:30 pm"
502,Dallas Chop House,"Mon, Thurs 12 pm - 2:30 pm / Tues, Fri 8:15 am - 11:45 pm / Weds 2 pm - 5 pm / Sat 6 am - 2:30 am / Sun 2:30 pm - 3 am"
503,LARK on the Park,"Mon, Thurs 7:30 am - 10 am / Tues 2:45 pm - 8:45 pm / Weds 9:15 am - 2:15 pm / Fri 2:15 pm - 1 am / Sat 11 am - 11:30 pm / Sun 5:15 am - 9 pm"
504,Cafe Malaga,"Mon - Tues 9:45 am - 8:15 pm / Weds 5:15 am - 1:15 am / Thurs, Sun 12:45 pm - 7:30 pm / Fri - Sat 5:30 am - 9:30 pm"
505,Smyth,"Mon, Fri 8:45 am - 7 pm / Tues, Sun 3:30 pm - 5:45 pm / Weds 5 pm - 6:15 pm / Thurs 5:15 am - 3 am / Sat 8:30 am - 1:30 pm"
506,Humperdinks - Arlington,Mon 11 am - 9:45 pm / Tues 10:15 am - 8:45 pm / Weds 4:45 pm - 8 pm / Thurs 12:30 pm - 12:15 pm / Fri 6:30 am - 3:45 pm / Sat 5:15 am - 9:15 am / Sun 9:45 am - 11 pm
507,Bijoux,Mon - Tues 6 am - 5:30 pm / Weds 10:30 am - 11:30 pm / Thurs 12 pm - 8:30 pm / Fri 7:30 am - 4:45 pm / Sat 8:15 am - 7 pm / Sun 6:30 am - 8 am
508,Buca di Beppo - Mesquite,"Mon 3:45 pm - 4 pm / Tues, Sun 1:30 pm - 4:30 pm / Weds 6:15 am - 1:45 am / Thurs - Fri 11:30 am - 2:30 pm / Sat 2:15 pm - 9 pm"
509,Primebar,"Sun - Mon 10 am - 6 pm / Tues 10:15 am - 5:45 pm / Weds, Fri 11:30 am - 9:15 pm / Thurs 6:30 am - 7 pm / Sat 5 am - 1 am"
510,Nola Grill,Mon - Tues 12:30 pm - 3 pm / Weds - Thurs 5 am - 9:15 am / Fri 7:45 am - 7:30 pm / Sat 6:45 am - 8:30 pm / Sun 12 pm - 12 pm
511,Cook Hall - Dallas,"Sun - Mon 1:45 pm - 3:15 am / Tues 1 pm - 1 am / Weds, Fri 4 pm - 9 pm / Thurs 5:45 pm - 6:15 pm / Sat 11:30 am - 4 pm"
512,Hibiscus,Mon 12:30 pm - 1:45 pm / Tues 2:15 pm - 8 pm / Weds 3:30 pm - 4:45 pm / Thurs 6 am - 4:15 pm / Fri 3:30 pm - 5:30 pm / Sat - Sun 5:30 am - 7:30 pm
513,Meso Maya - Preston Forest,Mon 12:30 pm - 2:15 am / Tues 4 pm - 10:30 pm / Weds 6 am - 9:45 pm / Thurs 7:45 am - 1:15 pm / Fri 8:30 am - 2:15 am / Sat 12:30 pm - 8:30 pm / Sun 7:15 am - 5:45 pm
514,Mexican Sugar,"Mon 3:15 pm - 3:15 am / Tues, Sat 9:45 am - 12 pm / Weds 5 pm - 12:15 pm / Thurs 5:15 pm - 11:30 pm / Fri 5:30 pm - 8:45 pm / Sun 5:15 am - 2 am"
515,Mercat,Mon - Tues 10:15 am - 8:30 pm / Weds - Thurs 3:45 pm - 3:15 am / Fri 2:15 pm - 2:45 am / Sat 11:15 am - 11:30 pm / Sun 1 pm - 1 am
516,Simply Fondue - Ft Worth,"Mon, Thurs, Sat 1:45 pm - 2 pm / Tues - Weds, Sun 12:45 pm - 3:30 am / Fri 12:30 pm - 2:30 pm"
517,Table and Tavern,Mon 11:45 am - 12:15 pm / Tues 12:15 pm - 2:45 pm / Weds 11 am - 3:30 pm / Thurs 1:15 pm - 8:30 pm / Fri - Sat 9:15 am - 10:30 pm / Sun 5 pm - 9:30 pm
518,R Bar & Grill Arlington,"Mon 11:30 am - 6:30 pm / Tues - Weds, Fri 5:15 pm - 11:15 pm / Thurs 12:15 pm - 1:15 am / Sat 3:45 pm - 2:15 am / Sun 12:30 pm - 4 pm"
519,Ivy Kitchen,Mon 5:45 am - 7:15 am / Tues - Weds 8:30 am - 2:30 am / Thurs 5:15 am - 1:15 pm / Fri 6:30 am - 1:30 am / Sat 5:45 am - 9 am / Sun 12:45 pm - 1:30 am
520,NHS Bar & Grill,Mon 5:45 am - 8:15 am / Tues 10 am - 12:30 pm / Weds 11:30 am - 9:30 pm / Thurs 8:45 am - 9 am / Fri 1:15 pm - 2:15 am / Sat 11 am - 1:15 am / Sun 1 pm - 12:45 pm
521,Texas de Brazil - Addison,"Mon, Weds 3:15 pm - 8:45 pm / Tues, Fri 2 pm - 4:15 pm / Thurs 3 pm - 1:15 am / Sat 3:15 pm - 10 pm / Sun 1:45 pm - 6 pm"
522,Benihana - Plano,"Mon, Weds 12 pm - 1:15 am / Tues, Fri 5:30 am - 9 pm / Thurs 3 pm - 4:45 pm / Sat 5:15 am - 4:30 pm / Sun 9:45 am - 5:45 pm"
523,Kenichi - Dallas,"Mon, Fri 5:30 am - 6:30 pm / Tues 12:45 pm - 5:45 pm / Weds, Sat 7 am - 11 pm / Thurs 4 pm - 9 pm / Sun 6:30 am - 10:30 am"
524,Blu,"Mon, Weds 5:45 am - 7:45 am / Tues 3:30 pm - 11 pm / Thurs, Sat 7 am - 5:15 pm / Fri 3 pm - 2 am / Sun 3:30 pm - 10:45 pm"
525,Seasons 52 - Plano,Mon - Tues 6:45 am - 8:45 am / Weds 11:15 am - 2 pm / Thurs 5:30 pm - 2 am / Fri 12:15 pm - 3:45 am / Sat 2:30 pm - 8:15 pm / Sun 8:15 am - 7:15 pm
526,Rafain Brazilian Steakhouse,Mon - Weds 5:45 pm - 6:30 pm / Thurs 10 am - 7:30 pm / Fri 4 pm - 6 pm / Sat - Sun 11 am - 2:15 am
527,TruFire Kitchen & Bar - Southlake,"Mon, Sat 2:15 pm - 4:15 pm / Tues 5:30 pm - 8:15 pm / Weds 1:45 pm - 12:45 pm / Thurs, Sun 9 am - 4:15 pm / Fri 6:15 am - 10:45 am"
528,Taco Diner Addison,Mon 4 pm - 11 pm / Tues 5:45 am - 1:30 pm / Weds 5 pm - 10:45 pm / Thurs 5:30 am - 2:45 pm / Fri - Sat 2:15 pm - 1 am / Sun 9:15 am - 1:45 pm
529,Oak,"Mon - Tues, Sat 1 pm - 9 pm / Weds 12:30 pm - 6:30 pm / Thurs 5:30 am - 11:30 pm / Fri 12:45 pm - 1:45 pm / Sun 6 am - 5:30 pm"
530,Avanti Ristorante,Mon - Tues 3:45 pm - 3:15 am / Weds 4 pm - 5:30 pm / Thurs - Fri 5 pm - 12:45 pm / Sat 5:30 pm - 1:30 am / Sun 8:30 am - 10:45 pm
531,Mi Cocina - Legacy,Mon - Tues 5:15 pm - 6 pm / Weds 3:45 pm - 7:45 pm / Thurs 9:30 am - 11:30 pm / Fri 7:45 am - 12:30 pm / Sat 5:30 am - 9:15 am / Sun 5:30 am - 9:30 pm
532,Henry's Tavern - Plano,"Mon, Weds 5 pm - 1:45 am / Tues 1 pm - 5:15 pm / Thurs 6:30 am - 11:30 am / Fri 7:15 am - 12 pm / Sat 8 am - 3 am / Sun 5:45 pm - 9:45 pm"
533,Zio Cecio,"Mon 5:30 am - 11:45 am / Tues, Thurs, Sat 5 am - 7 pm / Weds, Fri 10:45 am - 8:15 pm / Sun 5:15 am - 2:30 am"
534,Spoon Bar & Kitchen,Mon - Tues 9:45 am - 7:45 pm / Weds 5 am - 7:15 am / Thurs - Fri 11:15 am - 5:30 pm / Sat 3 pm - 1:45 am / Sun 5:45 am - 7:15 pm
535,Crumbzz,Mon 7:15 am - 12:45 pm / Tues - Weds 10:15 am - 1 pm / Thurs 12:30 pm - 2:45 am / Fri 2:45 pm - 11:45 pm / Sat 10:15 am - 8:45 pm / Sun 11:15 am - 7 pm
536,Piccolo Mondo,"Sun - Mon, Weds 3 pm - 5:30 pm / Tues 12 pm - 2:45 pm / Thurs 5:30 pm - 8:45 pm / Fri 10 am - 7:30 pm / Sat 8:45 am - 4:45 pm"
537,Wild Salsa,"Mon - Tues 7:15 am - 10:30 am / Weds, Sat 6:45 am - 9 am / Thurs, Sun 4:45 pm - 12:30 pm / Fri 4 pm - 8 pm"
538,Le Bilboquet - Dallas,"Sun - Mon, Weds 4:15 pm - 8:30 pm / Tues 7:45 am - 11:30 am / Thurs - Fri 8:30 am - 10:30 pm / Sat 10:30 am - 6:30 pm"
539,TEI-AN,"Sun - Mon 8:30 am - 4 pm / Tues, Thurs 5:15 pm - 9:30 pm / Weds, Sat 3 pm - 7:15 pm / Fri 3:30 pm - 1:15 am"
540,Sevy's Grill,Mon 2:30 pm - 1:45 am / Tues - Weds 5:30 am - 2 am / Thurs - Fri 3:45 pm - 1 am / Sat 5:30 pm - 11:15 pm / Sun 6:15 am - 5:30 pm
541,Kobe Steaks - Dallas,"Sun - Mon 9:45 am - 7:15 pm / Tues - Weds, Sat 5:45 pm - 11:45 pm / Thurs 1:15 pm - 7 pm / Fri 5:30 pm - 6:45 pm"
542,Texan Station at the Gaylord Texan,Mon 7:30 am - 3:30 pm / Tues 9:30 am - 3 am / Weds 3 pm - 12 pm / Thurs 7:45 am - 11:30 am / Fri 5:15 am - 7 am / Sat 9:15 am - 1:45 am / Sun 4 pm - 12:30 pm
543,Sushi Zushi of Southlake,"Mon 7:45 am - 11 pm / Tues 8:45 am - 3:15 pm / Weds - Thurs, Sun 3:30 pm - 1 am / Fri 5 am - 12:15 pm / Sat 4:45 pm - 9 pm"
544,Kenny's Smoke House,"Mon, Weds 1:45 pm - 6:45 pm / Tues, Sat 9:30 am - 6:45 pm / Thurs 1:30 pm - 12:45 pm / Fri 11:15 am - 1 pm / Sun 3:15 pm - 1:45 am"
545,Braza Dancante,"Mon, Weds - Thurs 2:45 pm - 6:15 pm / Tues 5:15 am - 1 am / Fri 1 pm - 7:30 pm / Sat 4:45 pm - 2:30 am / Sun 7:15 am - 2:45 am"
546,Lazaranda Modern Kitchen & Tequila,"Mon 11:45 am - 11:45 pm / Tues 7:30 am - 9 pm / Weds, Sat 10:45 am - 12 pm / Thurs 8:30 am - 12:30 pm / Fri 6 am - 1 am / Sun 10:15 am - 9 pm"
547,Texas de Brazil - Dallas,"Mon - Tues 5:45 am - 1:30 pm / Weds, Sun 12:15 pm - 1:45 pm / Thurs 3:30 pm - 11:45 pm / Fri 5:15 am - 11:15 pm / Sat 8:30 am - 1:15 am"
548,RA Sushi Bar Restaurant - Plano,"Mon, Sat 11:30 am - 1 am / Tues 5:15 am - 6:15 am / Weds 1 pm - 4:45 pm / Thurs 12:30 pm - 9:45 pm / Fri 9:45 am - 1 am / Sun 12:45 pm - 8:30 pm"
549,Souk at Trinity Groves,"Mon, Weds 8:45 am - 1:45 am / Tues, Thurs 10:30 am - 12:15 pm / Fri 9:45 am - 12:45 pm / Sat 4:15 pm - 2:30 am / Sun 4 pm - 8:45 pm"
550,Turkish Cafe and Lounge,"Mon - Tues, Thurs 12:45 pm - 4:15 pm / Weds, Sun 5:30 am - 7:45 pm / Fri - Sat 1:30 pm - 10:15 pm"
551,Ruchi Palace - Plano,"Mon, Fri 12:15 pm - 7:45 pm / Tues 4:30 pm - 5:15 pm / Weds - Thurs 6 am - 4:45 pm / Sat 11:45 am - 3:30 am / Sun 4:45 pm - 10 pm"
552,The Cedars Social,"Mon, Weds 7:30 am - 7:15 pm / Tues 7:30 am - 3:30 am / Thurs - Fri 5 am - 2 am / Sat 10 am - 9:30 pm / Sun 1:15 pm - 4:30 pm"
553,Komali Restaurant,"Mon 8:45 am - 8 pm / Tues - Thurs, Sun 12:30 pm - 8 pm / Fri 2:30 pm - 11:45 pm / Sat 5:45 pm - 3 am"
554,24 Plates,"Mon 8 am - 5:30 pm / Tues 7:30 am - 12:15 pm / Weds, Fri 11:30 am - 3 am / Thurs 5:15 am - 3:30 am / Sat - Sun 10:45 am - 5:30 pm"
555,Baboush,Mon 6 am - 3:45 pm / Tues 12:45 pm - 10 pm / Weds 7:15 am - 8 pm / Thurs - Fri 1 pm - 7:45 pm / Sat 3:15 pm - 2:30 am / Sun 1:30 pm - 9 pm
556,Stampede 66,"Mon, Weds 3 pm - 3:30 am / Tues 5:15 am - 7:45 pm / Thurs 9:30 am - 11:30 am / Fri 8:45 am - 10:30 pm / Sat 5 am - 9:30 pm / Sun 7:45 am - 4:45 pm"
557,San Salvaje,"Mon 6:45 am - 10:45 pm / Tues 5:45 pm - 10:15 pm / Weds, Fri 7 am - 7:15 pm / Thurs 11 am - 12:30 pm / Sat 12:15 pm - 11:30 pm / Sun 7 am - 3:45 am"
558,Proof & Pantry,"Mon, Weds, Fri 5:15 am - 1:45 pm / Tues 12:45 pm - 3:30 pm / Thurs 5:15 pm - 1 am / Sat 5:45 am - 11 pm / Sun 7:45 am - 8:15 am"
559,Howard Wang's Uptown China Brasserie,"Mon 9:15 am - 1:45 pm / Tues 1:30 pm - 1:15 am / Weds 1:45 pm - 10:30 pm / Thurs 5:30 am - 9:15 am / Fri, Sun 3:45 pm - 9:45 pm / Sat 11 am - 7:45 pm"
560,Remington's Seafood Grill,Mon 5:30 pm - 6:15 pm / Tues 4 pm - 1:45 am / Weds 5 am - 3:45 am / Thurs 4:45 pm - 9:30 pm / Fri 2:45 pm - 5:15 pm / Sat 10 am - 11 am / Sun 5 am - 1:30 am
561,Buca di Beppo - Park Lane,"Mon, Weds 9:45 am - 11 am / Tues, Thurs 1:15 pm - 4:30 pm / Fri 6:45 am - 12:15 pm / Sat 6:45 am - 10:30 pm / Sun 9:45 am - 2:45 pm"
562,Winewood,"Mon 4:45 pm - 3:45 am / Tues - Thurs 8:30 am - 9:30 pm / Fri, Sun 3 pm - 9:45 pm / Sat 5:45 pm - 2 am"
563,Posados Cafe - Plano,"Mon, Thurs 10:45 am - 4:15 pm / Tues 5:30 pm - 11:45 pm / Weds 3 pm - 3:45 am / Fri, Sun 2:45 pm - 11:15 pm / Sat 8:30 am - 7:15 pm"
564,Barter,"Mon - Tues 6 am - 11 pm / Weds - Thurs 8 am - 6:30 pm / Fri, Sun 11:30 am - 12:30 pm / Sat 5:15 pm - 10 pm"
565,Asador,"Mon 7 am - 6:45 pm / Tues 10:45 am - 4 pm / Weds 5:45 pm - 3 am / Thurs, Sat 10:45 am - 11:30 am / Fri 5:30 pm - 11:15 pm / Sun 12:30 pm - 5:45 pm"
566,Pakpao Thai Food,"Mon, Weds 10:45 am - 11:45 pm / Tues 6 am - 11:30 am / Thurs 5 am - 4:45 pm / Fri 7 am - 8 pm / Sat 3:15 pm - 1:45 am / Sun 6:30 am - 6:30 pm"
567,Maggiano's - Willow Bend,"Sun - Mon 9:30 am - 5:15 pm / Tues 4:30 pm - 12:45 pm / Weds, Sat 5:45 pm - 9:15 pm / Thurs - Fri 11:15 am - 1:30 pm"
568,Sambuca - Dallas Uptown,Mon 10:15 am - 5:15 pm / Tues 1:30 pm - 5:45 pm / Weds - Thurs 8 am - 3 am / Fri 2 pm - 8 pm / Sat 6:30 am - 9:45 am / Sun 8:45 am - 3:30 pm
569,Zodiac at Neiman Marcus – Downtown Dallas,Mon 4 pm - 7 pm / Tues - Weds 7:15 am - 11:45 pm / Thurs 1:15 pm - 12 pm / Fri 7:30 am - 12:30 pm / Sat 11 am - 3:30 pm / Sun 11:30 am - 7:15 pm
570,Misto Bistro,"Mon 10:45 am - 12 pm / Tues, Sun 5:45 pm - 10:45 pm / Weds 1 pm - 7:15 pm / Thurs 10:15 am - 6:15 pm / Fri - Sat 6 am - 8:45 am"
571,Saint Ann Restaurant and Bar,Mon 12:30 pm - 1:15 pm / Tues 1:45 pm - 9:45 pm / Weds 10 am - 11:45 am / Thurs 4:15 pm - 2:15 am / Fri 2:15 pm - 4:30 pm / Sat - Sun 1:15 pm - 3:45 pm
572,DISH - Dallas,"Mon 1:15 pm - 6:15 pm / Tues, Fri 5:30 am - 11:30 am / Weds 11:15 am - 1 am / Thurs 10:15 am - 3:45 pm / Sat - Sun 5:15 pm - 7:45 pm"
573,Benihana - Dallas,"Mon - Tues, Fri 4:45 pm - 12:30 pm / Weds 5:30 am - 7:15 pm / Thurs, Sat 4:30 pm - 6:30 pm / Sun 2:15 pm - 11:30 pm"
574,Dream Cafe,Mon 5:30 am - 2 am / Tues 5:15 pm - 1:45 am / Weds 2 pm - 4:15 pm / Thurs 8 am - 12:30 pm / Fri - Sat 8 am - 11:30 am / Sun 6 am - 1 am
575,Dallas Fish Market,"Mon 9 am - 4:30 pm / Tues 1 pm - 1:45 am / Weds 7:30 am - 9:15 pm / Thurs 2:45 pm - 9:45 pm / Fri, Sun 2:45 pm - 8 pm / Sat 11:30 am - 2:30 pm"
576,Cast Iron at the Omni Fort Worth,"Mon 8 am - 9 am / Tues - Weds, Fri 7:45 am - 2:30 pm / Thurs 3:15 pm - 7:45 pm / Sat 10:45 am - 12 pm / Sun 12 pm - 3:15 am"
577,Buca di Beppo - Southlake,Sun - Tues 3:45 pm - 2:15 am / Weds 10 am - 3:45 pm / Thurs - Fri 1:30 pm - 1 am / Sat 2:45 pm - 2:30 am
578,Edoko Sushi,"Mon, Sat 6:45 am - 5:30 pm / Tues 1 pm - 3:45 am / Weds 10:45 am - 1:15 pm / Thurs - Fri 5:45 pm - 9 pm / Sun 12:15 pm - 2:45 am"
579,Kenny's Italian Kitchen,Mon 5:15 pm - 2 am / Tues - Weds 8:15 am - 1:30 am / Thurs 12 pm - 9:45 pm / Fri 6:30 am - 10:30 am / Sat 8:45 am - 1:30 am / Sun 8 am - 12:30 pm
580,Texas Spice,Mon 5 am - 5:15 pm / Tues - Weds 4 pm - 12 pm / Thurs 9 am - 9:15 pm / Fri 9:30 am - 2 am / Sat 1:45 pm - 8 pm / Sun 7:15 am - 9:30 pm
581,Artin's Grill,Mon 5 pm - 9:15 pm / Tues - Weds 7:45 am - 5:30 pm / Thurs 4:30 pm - 8:15 pm / Fri 2 pm - 6:30 pm / Sat 12:30 pm - 5:15 pm / Sun 6:30 am - 2:30 am
582,Jaxx Steakhouse,"Mon 9:30 am - 10 am / Tues, Sat 11:45 am - 10:45 pm / Weds, Fri 2:45 pm - 1:30 am / Thurs 2:30 pm - 3:30 am / Sun 10:15 am - 8:30 pm"
583,Ziziki's - N. Dallas,Mon - Tues 3 pm - 3:30 am / Weds - Thurs 11 am - 9 pm / Fri 4:45 pm - 7 pm / Sat 6:30 am - 4:45 pm / Sun 4:30 pm - 12 pm
584,Roy's Plano,"Mon - Tues 10 am - 7:30 pm / Weds, Sun 6:30 am - 1 pm / Thurs 9 am - 11:15 pm / Fri - Sat 5 am - 5:45 pm"
585,Ziziki's -  Plano,Mon 2:30 pm - 12:30 pm / Tues 2:30 pm - 4:45 pm / Weds 5 pm - 1 am / Thurs 9:45 am - 1:30 pm / Fri 2:15 pm - 3:15 am / Sat 8:15 am - 3:30 am / Sun 1:45 pm - 3:15 pm
586,Meddlesome Moth,"Mon - Tues, Fri 2:30 pm - 4 pm / Weds - Thurs 12 pm - 2:45 pm / Sat 12:15 pm - 11:15 pm / Sun 6:30 am - 12 pm"
587,RockIsland (Demo/Test),"Mon 8 am - 9 am / Tues, Thurs - Fri 8:30 am - 2:45 pm / Weds 1:45 pm - 5:15 pm / Sat 6:30 am - 9:45 pm / Sun 1 pm - 7:45 pm"
588,Ragnars,"Mon 8:15 am - 11:30 pm / Tues 1:30 pm - 7 pm / Weds - Thurs 8 am - 10:45 pm / Fri, Sun 5:30 pm - 7:45 pm / Sat 1:15 pm - 4:30 pm"
589,Downing Street Grill,"Mon, Weds 1:30 pm - 3:30 pm / Tues, Sun 1:15 pm - 2:45 pm / Thurs, Sat 4 pm - 9 pm / Fri 1:30 pm - 3:15 am"
590,TAG,"Mon, Fri 7:15 am - 11:45 pm / Tues 10:45 am - 8:15 pm / Weds 12:15 pm - 7 pm / Thurs 11:45 am - 3:30 am / Sat 5:45 pm - 12:30 pm / Sun 8:15 am - 11:45 am"
591,Rio Grande - Frisco,"Mon - Tues 3:45 pm - 12:30 pm / Weds 7 am - 1:15 am / Thurs 8 am - 11:30 pm / Fri, Sun 11:45 am - 4:30 pm / Sat 1 pm - 3:30 am"
592,Tempranillo,"Mon 8:15 am - 1:45 pm / Tues 1:45 pm - 6:45 pm / Weds 5 am - 11:45 am / Thurs, Sat 7:15 am - 8:30 am / Fri 4 pm - 12:45 pm / Sun 8:30 am - 2 pm"
593,Square Grouper,"Mon 7:15 am - 2:15 pm / Tues 5:15 am - 4:15 pm / Weds 5:30 am - 7:45 am / Thurs, Sat 11:30 am - 1:30 pm / Fri 5:30 am - 8:15 am / Sun 9:15 am - 2:45 pm"
594,Banzai Sushi,Mon 8:15 am - 1:15 am / Tues 9:30 am - 2 am / Weds 1:30 pm - 5:15 pm / Thurs 8:45 am - 3:45 am / Fri - Sat 5 am - 4 pm / Sun 11:15 am - 2:45 pm
595,Atticus,"Mon 5:30 pm - 3:15 am / Tues, Sat 2 pm - 7:15 pm / Weds 5:30 am - 6 am / Thurs 11:45 am - 1:15 pm / Fri, Sun 11:45 am - 11:45 pm"
596,Bramble & Hare,"Mon - Tues 10:15 am - 6:15 pm / Weds, Sun 6:15 am - 11 am / Thurs, Sat 1:30 pm - 3 am / Fri 5:45 pm - 8:30 pm"
597,Tapas D Jerez,"Mon 3:15 pm - 6:45 pm / Tues - Weds 2 pm - 3:30 am / Thurs, Sat 10:45 am - 1 am / Fri 2 pm - 3 pm / Sun 5:30 am - 2 pm"
598,Flavor Telluride,Mon 6:45 am - 12 pm / Tues - Thurs 1 pm - 7:45 pm / Fri 11:15 am - 10:30 pm / Sat 3 pm - 10:30 pm / Sun 9:45 am - 3:30 pm
599,Gaia Bistro,"Mon, Thurs 7 am - 11:45 pm / Tues 6 am - 10:15 pm / Weds, Fri 3:30 pm - 2:15 am / Sat - Sun 5:15 pm - 6:45 pm"
600,Izakaya Den,"Mon 2:15 pm - 12:15 pm / Tues - Weds 9:45 am - 3 pm / Thurs 7:45 am - 12:15 pm / Fri, Sun 4:15 pm - 7:45 pm / Sat 12:30 pm - 2:45 pm"
601,Beatrice & Woodsley,Mon - Tues 1:45 pm - 3:30 pm / Weds 9:15 am - 3 pm / Thurs 12:45 pm - 2:45 am / Fri 10:30 am - 9 pm / Sat 8:30 am - 5:30 pm / Sun 4:15 pm - 7:15 pm
602,Talay Grille,Mon 12:15 pm - 10:15 pm / Tues 10 am - 1:45 pm / Weds 8:15 am - 12:45 pm / Thurs 3:15 pm - 9:15 pm / Fri 5:45 pm - 1:30 am / Sat 6:45 am - 10 pm / Sun 10:30 am - 11 am
603,Table 6,"Mon, Thurs 10 am - 1:15 am / Tues 3:45 pm - 3:45 am / Weds 1:30 pm - 8:15 pm / Fri 12:45 pm - 10:45 pm / Sat 12:45 pm - 5:30 pm / Sun 2:15 pm - 8 pm"
604,Deno's Mountain Bistro,"Mon 11:45 am - 3:45 pm / Tues 5:45 am - 1:15 am / Weds, Sat 1:30 pm - 9 pm / Thurs - Fri 10:15 am - 11:15 am / Sun 11:45 am - 6:15 pm"
605,Ember,"Mon, Sat 5 pm - 9:15 pm / Tues 7:30 am - 12:45 pm / Weds 10:45 am - 12 pm / Thurs 3 pm - 6:30 pm / Fri 9:45 am - 8:30 pm / Sun 10 am - 12:15 pm"
606,Atwater on Gore Creek,"Mon 11:15 am - 1:30 pm / Tues - Weds 2 pm - 6 pm / Thurs, Sun 3:45 pm - 8:15 pm / Fri 11:45 am - 12:15 pm / Sat 1:15 pm - 10:15 pm"
607,Gumbos,Mon - Tues 11 am - 2 am / Weds 3:15 pm - 6:30 pm / Thurs 3:30 pm - 11:45 pm / Fri 1:45 pm - 3:45 am / Sat 5:45 am - 7:45 am / Sun 8:30 am - 9 pm
608,Hapa Sushi Grill and Sake Bar Lodo,Mon 5:15 am - 6:15 pm / Tues 11:45 am - 1:30 pm / Weds 3:45 pm - 4:15 pm / Thurs 6:45 am - 11:30 am / Fri - Sat 2:30 pm - 12:30 pm / Sun 10:15 am - 2:30 am
